nameWithOwner,url,createdAt,stargazers,releases,loc,cbo,dit,lcom
H07000223/FlycoTabLayout,https://github.com/H07000223/FlycoTabLayout,2015-11-09T01:53:19Z,10813,4,2730,3.0,3.0,1.0
code4craft/webmagic,https://github.com/code4craft/webmagic,2013-04-23T12:57:36Z,10755,23,8676,4.0,9.0,1.0
lingochamp/FileDownloader,https://github.com/lingochamp/FileDownloader,2015-12-22T11:17:16Z,10745,65,14387,2.0,28.0,1.0
mission-peace/interview,https://github.com/mission-peace/interview,2014-07-20T21:27:31Z,10701,0,27259,2.0,4.0,1.0
pxb1988/dex2jar,https://github.com/pxb1988/dex2jar,2015-03-16T09:13:07Z,10687,6,41008,3.0,8.0,0.0
android-async-http/android-async-http,https://github.com/android-async-http/android-async-http,2011-02-20T03:25:07Z,10645,3,7620,4.0,5.0,3.0
zaproxy/zaproxy,https://github.com/zaproxy/zaproxy,2015-06-03T16:55:01Z,10578,308,179090,3.0,32.0,1.0
careercup/CtCI-6th-Edition,https://github.com/careercup/CtCI-6th-Edition,2015-07-02T06:28:46Z,10553,0,21093,2.0,5.0,1.0
tbruyelle/RxPermissions,https://github.com/tbruyelle/RxPermissions,2015-09-29T13:55:09Z,10426,11,876,2.0,2.0,0.0
grpc/grpc-java,https://github.com/grpc/grpc-java,2014-12-08T19:00:00Z,10406,137,223427,3.0,22.0,0.0
questdb/questdb,https://github.com/questdb/questdb,2014-04-28T23:29:15Z,10226,62,346870,4.0,28.0,1.0
JakeWharton/ViewPagerIndicator,https://github.com/JakeWharton/ViewPagerIndicator,2011-08-04T17:13:44Z,10190,0,2947,6.0,4.0,0.0
square/javapoet,https://github.com/square/javapoet,2013-02-01T16:56:30Z,10101,0,7518,2.0,5.0,0.0
google/auto,https://github.com/google/auto,2013-05-22T21:41:56Z,10043,57,30482,3.0,80.0,1.0
jhy/jsoup,https://github.com/jhy/jsoup,2009-12-19T01:29:58Z,10023,9,29586,3.0,58.0,1.0
apereo/cas,https://github.com/apereo/cas,2011-09-09T01:36:42Z,10009,240,192198,8.0,60.0,0.0
clojure/clojure,https://github.com/clojure/clojure,2010-06-29T20:03:33Z,9901,0,44087,0.0,48.0,0.0
wasabeef/glide-transformations,https://github.com/wasabeef/glide-transformations,2015-01-09T10:33:29Z,9747,0,991,5.0,3.0,0.0
HarlonWang/AVLoadingIndicatorView,https://github.com/HarlonWang/AVLoadingIndicatorView,2015-10-24T20:18:33Z,9697,1,2161,2.0,4.0,0.0
googlesamples/easypermissions,https://github.com/googlesamples/easypermissions,2015-12-22T18:05:53Z,9638,12,1705,8.0,3.0,6.0
liaohuqiu/android-Ultra-Pull-To-Refresh,https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh,2014-11-13T03:13:10Z,9623,8,5476,2.0,5.0,0.0
TooTallNate/Java-WebSocket,https://github.com/TooTallNate/Java-WebSocket,2010-01-20T23:33:04Z,9619,14,14502,2.0,7.0,3.5
ksoichiro/Android-ObservableScrollView,https://github.com/ksoichiro/Android-ObservableScrollView,2014-11-08T14:45:20Z,9610,0,12621,3.0,7.0,0.0
perwendel/spark,https://github.com/perwendel/spark,2011-05-05T11:52:05Z,9465,0,9588,3.0,5.0,0.0
umano/AndroidSlidingUpPanel,https://github.com/umano/AndroidSlidingUpPanel,2013-05-31T18:33:53Z,9453,8,2011,2.0,4.0,0.0
pockethub/PocketHub,https://github.com/pockethub/PocketHub,2011-09-08T16:52:50Z,9418,1,6980,5.0,4.0,0.0
bilibili/DanmakuFlameMaster,https://github.com/bilibili/DanmakuFlameMaster,2013-08-11T12:18:50Z,9406,5,12879,3.0,14.0,1.0
MyCATApache/Mycat-Server,https://github.com/MyCATApache/Mycat-Server,2014-12-04T02:46:54Z,9376,7,92939,3.0,12.0,0.0
OpenRefine/OpenRefine,https://github.com/OpenRefine/OpenRefine,2012-10-15T02:22:48Z,9332,45,66328,5.0,9.0,1.0
koral--/android-gif-drawable,https://github.com/koral--/android-gif-drawable,2013-01-30T01:37:46Z,9313,57,2946,4.0,10.0,0.0
lzyzsd/JsBridge,https://github.com/lzyzsd/JsBridge,2015-02-26T12:10:58Z,9266,0,995,1.5,2.0,0.0
Activiti/Activiti,https://github.com/Activiti/Activiti,2012-09-13T11:34:43Z,9266,210,144065,4.0,8.0,1.0
cryptomator/cryptomator,https://github.com/cryptomator/cryptomator,2014-02-02T00:43:47Z,9066,146,13668,6.0,6.0,1.0
navasmdc/MaterialDesignLibrary,https://github.com/navasmdc/MaterialDesignLibrary,2014-09-30T07:37:17Z,9054,3,2927,3.0,6.0,0.0
jwtk/jjwt,https://github.com/jwtk/jjwt,2014-09-13T01:06:24Z,8907,0,5254,3.0,8.0,1.0
nathanmarz/storm,https://github.com/nathanmarz/storm,2011-09-17T07:55:13Z,8884,0,60552,3.0,20.0,1.0
stanfordnlp/CoreNLP,https://github.com/stanfordnlp/CoreNLP,2013-06-27T21:13:49Z,8883,12,561862,4.0,121.0,0.0
android/testing-samples,https://github.com/android/testing-samples,2014-10-11T03:51:27Z,8767,0,1809,6.0,3.0,0.0
chrisbanes/Android-PullToRefresh,https://github.com/chrisbanes/Android-PullToRefresh,2011-11-29T09:59:56Z,8748,0,3567,4.5,7.0,1.0
OpenFeign/feign,https://github.com/OpenFeign/feign,2013-06-26T23:28:16Z,8665,28,30656,3.0,92.0,0.0
resilience4j/resilience4j,https://github.com/resilience4j/resilience4j,2015-06-03T09:21:01Z,8632,32,52469,5.5,15.0,1.0
cats-oss/android-gpuimage,https://github.com/cats-oss/android-gpuimage,2012-10-04T08:11:58Z,8623,0,6341,2.0,7.0,0.0
chrisjenx/Calligraphy,https://github.com/chrisjenx/Calligraphy,2013-12-20T02:35:45Z,8597,4,968,5.0,3.0,3.0
FreelanderFreelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8595,0,116,2.0,1.0,3.0
Freelander/Android_Data,https://github.com/Freelander/Android_Data,2015-04-04T01:37:44Z,8595,0,116,2.0,1.0,3.0
junit-team/junit4,https://github.com/junit-team/junit4,2009-01-13T03:41:26Z,8416,13,32915,3.0,14.0,0.0
dropwizard/dropwizard,https://github.com/dropwizard/dropwizard,2011-01-19T19:52:29Z,8362,137,41279,4.0,13.0,0.0
languagetool-org/languagetool,https://github.com/languagetool-org/languagetool,2013-08-08T16:37:22Z,8327,0,194717,4.0,28.0,1.0
shwenzhang/AndResGuard,https://github.com/shwenzhang/AndResGuard,2015-10-11T11:48:06Z,8201,4,6506,2.0,4.0,1.5
florent37/MaterialViewPager,https://github.com/florent37/MaterialViewPager,2015-04-24T17:53:15Z,8189,11,1616,3.0,3.0,0.0
signalapp/Signal-Server,https://github.com/signalapp/Signal-Server,2013-12-09T07:10:36Z,8116,0,36772,4.0,4.0,0.0
react-native-image-picker/react-native-image-picker,https://github.com/react-native-image-picker/react-native-image-picker,2015-06-08T20:25:31Z,7937,115,835,4.0,2.0,0.0
guolindev/LitePal,https://github.com/guolindev/LitePal,2013-02-20T03:20:07Z,7934,0,11830,3.0,6.0,0.0
Netflix/SimianArmy,https://github.com/Netflix/SimianArmy,2012-07-06T22:00:05Z,7927,4,16056,4.0,5.0,3.0
HannahMitt/HomeMirror,https://github.com/HannahMitt/HomeMirror,2015-08-23T03:20:08Z,7889,0,1719,2.0,2.0,0.0
ChrisRM/material-theme-jetbrains,https://github.com/ChrisRM/material-theme-jetbrains,2015-09-23T07:15:04Z,7886,17,14517,3.0,10.0,1.0
JakeWharton/hugo,https://github.com/JakeWharton/hugo,2013-11-25T09:16:40Z,7877,0,384,7.0,2.0,6.0
apache/cassandra,https://github.com/apache/cassandra,2009-05-21T02:10:09Z,7855,0,492018,4.0,63.0,1.0
apache/shardingsphere-elasticjob,https://github.com/apache/shardingsphere-elasticjob,2015-09-11T11:28:52Z,7826,28,22317,4.0,4.0,0.0
json-path/JsonPath,https://github.com/json-path/JsonPath,2011-01-24T13:19:19Z,7725,8,16721,3.0,13.0,0.0
trello/RxLifecycle,https://github.com/trello/RxLifecycle,2015-07-20T13:32:23Z,7713,22,2368,6.0,7.0,0.0
dropwizard/metrics,https://github.com/dropwizard/metrics,2010-02-26T19:44:42Z,7699,104,26525,4.0,11.0,0.0
java-native-access/jna,https://github.com/java-native-access/jna,2011-04-29T13:30:29Z,7689,0,105956,3.0,125.0,0.0
seven332/EhViewer,https://github.com/seven332/EhViewer,2014-05-14T12:03:52Z,7674,97,44372,4.0,16.0,1.0
plantuml/plantuml,https://github.com/plantuml/plantuml,2010-11-04T15:55:50Z,7667,26,184302,5.0,19.0,1.0
SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,2011-01-05T11:05:17Z,7576,36,360852,4.0,10.0,0.0
alibaba/otter,https://github.com/alibaba/otter,2013-08-09T09:31:22Z,7566,10,68151,3.0,7.0,1.0
kaushikgopal/RxJava-Android-Samples,https://github.com/kaushikgopal/RxJava-Android-Samples,2014-07-23T05:13:52Z,7548,0,2633,3.0,4.0,3.0
spring-projects/spring-security,https://github.com/spring-projects/spring-security,2012-01-10T21:50:57Z,7514,132,192695,5.0,18.0,0.0
davemorrissey/subsampling-scale-image-view,https://github.com/davemorrissey/subsampling-scale-image-view,2013-08-26T16:45:25Z,7502,21,4262,3.5,5.0,0.0
lecho/hellocharts-android,https://github.com/lecho/hellocharts-android,2014-10-12T09:12:37Z,7370,14,10995,3.0,5.0,1.0
datahub-project/datahub,https://github.com/datahub-project/datahub,2015-11-18T05:47:40Z,7363,72,74104,8.0,4.0,1.0
koush/AndroidAsync,https://github.com/koush/AndroidAsync,2012-08-24T07:27:04Z,7350,0,18086,2.0,29.0,0.0
square/dagger,https://github.com/square/dagger,2012-08-02T23:25:32Z,7292,0,8043,3.0,8.0,0.0
google/android-classyshark,https://github.com/google/android-classyshark,2015-10-12T13:40:48Z,7271,17,8714,2.0,7.0,1.0
Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7269,5,10389,3.0,4.0,2.0
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7266,2,943,1.5,2.0,0.0
leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7255,0,885,5.0,3.0,1.0
google/agera,https://github.com/google/agera,2015-12-17T13:22:58Z,7244,16,10897,4.0,5.0,0.0
cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7229,9,16083,3.0,7.0,0.0
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7214,15,2403,2.0,3.0,1.0
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,2015-08-31T09:28:49Z,7206,0,21724,4.0,2.0,0.0
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7165,20,931,3.0,2.0,1.0
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,2011-07-05T23:44:11Z,7144,85,34864,3.0,9.0,0.0
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,7137,32,26463,4.0,11.0,0.0
abel533/Mapper,https://github.com/abel533/Mapper,2014-11-21T11:02:10Z,7051,4,18026,4.0,4.0,0.0
flyway/flyway,https://github.com/flyway/flyway,2012-12-14T18:43:22Z,7047,176,22395,5.0,6.0,1.0
ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,6997,0,1912,4.0,5.0,1.0
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,2015-04-12T12:44:59Z,6884,61,24208,5.0,13.0,0.0
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,2015-08-17T14:53:29Z,6870,0,1961,2.5,4.0,0.0
TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,6842,15,16129,4.0,4.0,0.0
apache/jmeter,https://github.com/apache/jmeter,2010-05-26T23:38:07Z,6830,0,127367,4.0,12.0,3.0
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,2014-08-24T14:26:31Z,6827,196,26907,5.0,5.0,6.0
naman14/Timber,https://github.com/naman14/Timber,2015-06-12T16:43:55Z,6821,5,21819,3.0,8.0,0.0
DroidPluginTeam/DroidPlugin,https://github.com/DroidPluginTeam/DroidPlugin,2015-08-27T11:14:57Z,6790,2,22301,2.0,129.0,0.0
google/closure-compiler,https://github.com/google/closure-compiler,2014-04-16T15:30:36Z,6784,0,310268,5.0,38.0,1.0
gocd/gocd,https://github.com/gocd/gocd,2013-12-13T05:26:16Z,6735,74,276653,4.0,19.0,0.0
hongyangAndroid/AndroidAutoLayout,https://github.com/hongyangAndroid/AndroidAutoLayout,2015-11-19T02:09:11Z,6688,0,2370,5.0,4.0,8.0
zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,2015-12-14T19:53:36Z,6570,35,1884,4.0,2.0,0.0
apache/tomcat,https://github.com/apache/tomcat,2011-10-01T07:00:19Z,6552,0,351622,3.0,45.0,1.0
NanoHttpd/nanohttpd,https://github.com/NanoHttpd/nanohttpd,2012-08-10T21:52:42Z,6543,3,7106,3.0,16.0,1.0
bytedeco/javacv,https://github.com/bytedeco/javacv,2014-04-21T13:50:26Z,6490,9,26674,4.0,13.0,1.0
react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,2015-03-31T05:08:38Z,6486,10,3384,3.0,3.0,0.0
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,2010-05-17T21:27:02Z,6450,0,174209,6.0,15.0,1.0
apache/storm,https://github.com/apache/storm,2013-11-05T08:00:14Z,6433,0,376893,3.0,30.0,1.0
pentaho/pentaho-kettle,https://github.com/pentaho/pentaho-kettle,2013-10-08T18:27:11Z,6402,1,763060,2.0,18.0,0.0
real-logic/aeron,https://github.com/real-logic/aeron,2014-02-07T17:16:58Z,6392,84,96557,4.0,9.0,0.0
vinc3m1/RoundedImageView,https://github.com/vinc3m1/RoundedImageView,2013-02-22T01:17:37Z,6385,19,1265,9.0,3.0,0.0
zendesk/android-floating-action-button,https://github.com/zendesk/android-floating-action-button,2014-09-19T06:49:21Z,6375,0,1078,3.0,5.0,0.0
google/error-prone,https://github.com/google/error-prone,2014-08-21T23:26:50Z,6361,26,117529,4.0,24.0,0.0
