nameWithOwner,url,createdAt,stargazers,releases
square/dagger,https://github.com/square/dagger,2012-08-02T23:25:32Z,7292,0
google/android-classyshark,https://github.com/google/android-classyshark,2015-10-12T13:40:48Z,7271,17
Bearded-Hen/Android-Bootstrap,https://github.com/Bearded-Hen/Android-Bootstrap,2013-11-01T15:36:17Z,7269,5
pedant/sweet-alert-dialog,https://github.com/pedant/sweet-alert-dialog,2014-10-19T09:24:09Z,7266,2
leolin310148/ShortcutBadger,https://github.com/leolin310148/ShortcutBadger,2013-11-15T12:51:52Z,7255,0
google/agera,https://github.com/google/agera,2015-12-17T13:22:58Z,7244,16
cymcsg/UltimateRecyclerView,https://github.com/cymcsg/UltimateRecyclerView,2015-01-28T02:27:45Z,7229,9
crazycodeboy/TakePhoto,https://github.com/crazycodeboy/TakePhoto,2015-08-04T02:05:32Z,7214,15
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,2015-08-31T09:28:49Z,7206,0
geeeeeeeeek/WeChatLuckyMoney,https://github.com/geeeeeeeeek/WeChatLuckyMoney,2015-09-30T16:11:20Z,7165,20
swagger-api/swagger-core,https://github.com/swagger-api/swagger-core,2011-07-05T23:44:11Z,7144,85
JakeWharton/ActionBarSherlock,https://github.com/JakeWharton/ActionBarSherlock,2011-03-07T17:28:54Z,7137,32
abel533/Mapper,https://github.com/abel533/Mapper,2014-11-21T11:02:10Z,7051,4
flyway/flyway,https://github.com/flyway/flyway,2012-12-14T18:43:22Z,7047,176
ogaclejapan/SmartTabLayout,https://github.com/ogaclejapan/SmartTabLayout,2015-02-14T11:25:51Z,6997,0
testcontainers/testcontainers-java,https://github.com/testcontainers/testcontainers-java,2015-04-12T12:44:59Z,6884,61
hongyangAndroid/okhttputils,https://github.com/hongyangAndroid/okhttputils,2015-08-17T14:53:29Z,6870,0
TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,2013-03-22T17:33:54Z,6842,15
apache/jmeter,https://github.com/apache/jmeter,2010-05-26T23:38:07Z,6830,0
NLPchina/elasticsearch-sql,https://github.com/NLPchina/elasticsearch-sql,2014-08-24T14:26:31Z,6827,196
naman14/Timber,https://github.com/naman14/Timber,2015-06-12T16:43:55Z,6821,5
